run,Policy 0,Policy 1,Policy 2,Policy 3
1,503.257819,430.082197,408.630714,602.34563
2,506.265036,433.791099,414.244186,598.235766
3,496.341219,431.986768,408.530473,596.431435
4,502.155172,441.359262,411.036488,606.355253
5,502.706496,435.595429,402.165196,596.832398
6,500.200481,438.552526,409.232157,597.23336
7,503.40818,441.158781,409.582999,595.829992
8,504.009623,436.246993,412.089014,600.240577
9,500.200481,440.707698,414.89575,596.030473
10,502.506014,437.750601,413.24178,603.849238
11,506.816359,434.893745,413.14154,603.147554
12,506.465517,434.292302,411.637931,602.245389
13,501.553729,436.447474,412.289495,600.441059
14,503.40818,433.740978,405.523256,597.634322
15,505.563352,428.82919,404.671211,600.842021
16,504.811548,436.347233,411.38733,599.238172
17,501.503609,439.053729,412.239374,594.326383
18,501.303128,429.831596,411.287089,598.336006
19,501.904571,437.249399,408.530473,605.653569
20,500.952285,432.387731,401.964715,599.238172
21,500.952285,436.146752,406.625902,601.343224
22,500.100241,440.306736,408.781075,600.541299
23,505.21251,439.20409,411.637931,600.74178
24,503.257819,434.342422,414.344427,603.849238
25,501.75421,444.36648,411.43745,606.255012
26,506.014435,435.69567,414.99599,598.736969
27,500.751804,435.946271,417.552125,601.844427
28,503.708901,442.411788,409.883721,595.42903
29,505.21251,423.967522,415.046111,599.137931
30,500.801925,434.643144,408.430233,600.74178
31,501.353248,435.79591,414.143945,597.734563
32,503.859262,439.003609,409.833601,596.030473
33,501.102646,433.340016,412.439856,599.03769
34,503.40818,429.731355,414.194066,595.829992
35,501.002406,436.647955,413.692863,601.042502
36,503.55854,444.266239,408.781075,601.443464
37,503.55854,439.655172,407.026864,597.23336
38,502.957097,430.48316,414.244186,597.333601
39,504.260225,434.0417,409.78348,603.548516
40,502.305533,429.280273,410.585405,597.133119
